,Unnamed: 0,news_outlet,provenance,title,language,article_length,number_subheaders,forbidden_pattern,sentiment_score,author_person,author_organization
0,0,achgut,https://www.achgut.com/artikel/der_chronist_der_herdenwaerme,Der Chronist der Herdenwärme,de,1159,4,False,0.0023096576333045,Deborah Ryszka,
1,1,achgut,https://www.achgut.com/artikel/so_duester_und_ich_kann_nicht_anders/P40,So düster – und ich kann nicht anders,de,1445,3,False,-0.0133844539523124,Markus Vahlefeld,
2,2,achgut,https://www.achgut.com/artikel/chronik_einer_angekuendigten_ausweisung/P60,Chronik einer angekündigten Ausweisung,de,983,2,False,-0.2937506735324859,Anabel Schunke,
3,3,achgut,https://www.achgut.com/artikel/viele_maenner_und_wenige_frauen_das_problem_mit_der_zuwanderung/P130,Viele Männer und wenige Frauen – Das Problem mit der Zuwanderung,de,1373,3,False,-0.0293644685298204,Anabel Schunke,
4,4,achgut,https://www.achgut.com/artikel/laue_sommernaechte_in_stuttgart/P80,Laue Sommernächte in Stuttgart,de,454,1,False,-0.3899363577365875,Anabel Schunke,
5,5,achgut,https://www.achgut.com/artikel/die_eu_und_die_einladungen_vom_pferd/P30,Die EU und die Einladungen vom Pferd,de,950,2,False,-0.0103199686855077,Markus Vahlefeld,
6,6,achgut,https://www.achgut.com/artikel/warum_ich_von_der_friedrich_ebert_stiftung_ausgeladen_wurde,Warum ich von der Friedrich-Ebert-Stiftung ausgeladen wurde,de,620,0,False,-0.0473599322140216,Chaim Noll,
7,7,achgut,https://www.achgut.com/artikel/das_thueringen_chaos_ist_besser_als_jeder_tatort,Das Thüringen-Chaos ist besser als jeder Tatort,de,874,0,False,-0.0090050073340535,Interview,
8,8,achgut,https://www.achgut.com/artikel/ende_der_juedischen_einwanderung_nach_deutschland,Ende der jüdischen Einwanderung nach Deutschland?,de,576,1,False,-0.0057516801171004,Chaim Noll,
9,9,achgut,https://www.achgut.com/artikel/die_achgut.com_corona_chronik,Die Achgut.com Corona-Chronik,de,909,0,False,-0.0006484639598056,Achgut.com,
10,10,achgut,https://www.achgut.com/artikel/wie_die_eu_sich_selbst_zerlegt,Wie die EU sich selbst zerlegt,de,983,3,False,-0.0457685254514217,Vera Lengsfeld,
11,11,achgut,https://www.achgut.com/artikel/sonntagslektuere_der_schmuggel_ueber_die_zeitgrenze,Sonntagslektüre: Der Schmuggel über die Zeitgrenze,de,1052,2,False,-0.0009710565209388,Vera Lengsfeld,
