index,participant.label,RSversion,RSversion_verbose
0,d93e67e775756fac85238df5ba73ddc5,5,Word2vec
1,b8035292194ba13ee4d83ec2fae8a519,7,Transformer
2,a49910bd2eadac8d1b470c8837c14ced,4,Tfidf
3,4992eb980c1e53d8eebbc587cccc7bec,3,Tfidf_neu
4,75e62dbc0b1a7990e8c9e1f000155644,7,Transformer
5,4e29c858fef3646b91ed6efc2c314441,3,Tfidf_neu
6,55253304d443425400292cc3b6e5c138,5,Word2vec
7,61aae71ca5608fd0e7f6580a22a4a1ea,4,Tfidf
8,560fa9f4d8d72ec856b0cd285294c7ff,6,Random
9,fdebf1970718084b125fb1c474c887fd,1,Tfidf_pos
10,5b197f86527094dc3773dd6f54bec515,2,Tfidf_neg
11,2c3322098d9be532f900953608d60810,5,Word2vec
12,76d3da9c1a79b8e4437c29699c6e00c6,3,Tfidf_neu
13,2f5d054298d588f915bfdac53fe54a39,5,Word2vec
14,4eec200d762dede832ca0cd3042780ea,6,Random
15,fbe8fc0c813928bd6a1aa0bf6d4afdc1,7,Transformer
16,69b659ff797c7f1c4e580da5db553f9a,1,Tfidf_pos
17,ff522dce7b0efc6941bd05226f8f8f27,5,Word2vec
18,9ff880560d3466d0ffa7fb92e35cc8df,2,Tfidf_neg
19,c33a4719284926d61142dfcccdc8adf3,3,Tfidf_neu
20,1d7610967ecea80742d7eccca1e34cc5,1,Tfidf_pos
21,9187ccef141cdf837b1065aa336d45bc,2,Tfidf_neg
22,d063a0dc62076d097641c1e8cadde14b,5,Word2vec
23,8ab4860fa2476f21fe47dc1f29219f7f,4,Tfidf
24,19f2a6bd099e0004e97349d1f2afd1a5,5,Word2vec
25,c753b63efe95fbcb11f18c5db418d601,4,Tfidf
26,0c72f220c3c1faa6aed0a5ab9d7284d6,3,Tfidf_neu
27,7ae17bee48f2843b098d45dfe7025c1d,7,Transformer
28,3aecae97ba22671f58910d739db95d6b,2,Tfidf_neg
29,f6bf6365cd6d8d192d704f9c36f8bc3a,3,Tfidf_neu
30,5ae23c193b80f5abe6ff1417144146c9,6,Random
31,8edf85e9d55cbd9abb57478f28e35b28,4,Tfidf
32,0a255304b879d8a54c24ba5c2cfb5b5a,7,Transformer
33,6b7e17075ae693cae65b8dcdb82e6b1e,4,Tfidf
34,ad379ce2020954a38cb46c6759fa15e6,4,Tfidf
35,e5052a76afcecaa6b7d38bbfdfcbe112,3,Tfidf_neu
36,c7a13b847b34b3711d53550c08872b13,4,Tfidf
37,cd488d4f084ee23aae55b7baaafaf3fd,3,Tfidf_neu
38,6db618e02f4444b6824842a905d1c0dc,7,Transformer
39,100cd74a8699e47ea24b1593ec78fc37,6,Random
40,1b7381b024f0170b3beb6779ec46bfd7,1,Tfidf_pos
41,60d1ef3408fb6725c6b1569e22390151,1,Tfidf_pos
42,1772a8f062f4714d56cec0ed7d2d1c7e,4,Tfidf
43,1103fcfa494662209d4af351f5c39f13,5,Word2vec
44,72eda4cf571d6c7e4f8e059fd56487f0,6,Random
45,5cce63a4e3755f21e8a02faaac474649,1,Tfidf_pos
46,18ba3621514525bee4ea62bcda72f493,7,Transformer
47,842dc1ed728a03690e982e9c7575e155,7,Transformer
48,48926b5fc0c74c24bdb39873ba73f300,6,Random
49,ddb869497fae22a12d840cc2636816cf,6,Random
50,176cf6e05244c182085ccaa68f43d8a4,3,Tfidf_neu
51,5ea180d43b0d31ec6a9e15f0881b59a3,1,Tfidf_pos
52,746270c3989b79db1e4be9363103ba55,1,Tfidf_pos
53,ce80d4b1598f40cfaa76035cef3240df,7,Transformer
54,9856913ac31cc7b1b9b1655cb85ae0d1,1,Tfidf_pos
55,e5885a2e63c152350d1e46e453e0e1c5,6,Random
56,f76138b0872fd7283a31a97f6293ace5,1,Tfidf_pos
57,df74e00b5c1c2e69b3b7a31b1ed75512,4,Tfidf
58,9e4d2fd606c608a5566616a10c4f398f,6,Random
59,c3dc7ffdf6415a83b7503f356e9e3dd2,4,Tfidf
60,4ec8aafb98dfc48f9a7e9bd16db30d4d,2,Tfidf_neg
61,b2d470c55ee7c310512dbb7dd050f868,7,Transformer
62,be0ffb5453033058bab0decb8eef79ec,1,Tfidf_pos
63,d79f5f48e5087e20d661255619d61404,7,Transformer
64,919439b9b43885ec270f77c6205fe8c1,1,Tfidf_pos
65,c8388bd3088e29639fa80da5f5314704,1,Tfidf_pos
66,f2ab9e224f747baf0b9f0be11a25c3dc,6,Random
67,ea8444f9a1794a0b98f3ed37354e3985,2,Tfidf_neg
68,83ac05daddcc0f42ab74a416ae87065d,6,Random
69,8252ee8d4d56af11a268d4a9f33bd242,4,Tfidf
70,dcca6aac8426461b146d78e0a44463ba,1,Tfidf_pos
71,c41a12a7258d59b4f90bfd4941cd5ea5,2,Tfidf_neg
72,56abb3c79d085a6f10fbc774000a8fd8,4,Tfidf
73,048d816c6a7680f2c65707e2d9febfe9,3,Tfidf_neu
74,93b9407d2637ad2e67973c39f203a12a,1,Tfidf_pos
75,2e8b12beccbfaf497e65b60ee0fa5c36,1,Tfidf_pos
76,7dde8cc815371c8ef4586659154867a1,7,Transformer
77,8b46edb9f5140c6a95fdc2f3fa1bf365,7,Transformer
78,90c6342df1677aeda6da156569e713de,5,Word2vec
79,181d45cd6d8e664a738fcc21019642c3,2,Tfidf_neg
80,fd18ec74319d0cbb51627e77e8ea84aa,1,Tfidf_pos
81,972d121b83ced1de05a0e7454c6ca662,1,Tfidf_pos
82,9b0c11d7d8004f4edc6dbf133a384381,6,Random
83,2aa1b565227460c39356e2fbbbca8f0e,7,Transformer
84,d5d8e153c20acf12828f3aaed055efd4,1,Tfidf_pos
85,7ef74b6c65b9092e84df9073bcff7b3c,4,Tfidf
86,550f9774da23c4a565ccf5a95e2051c4,2,Tfidf_neg
87,8f2e6bba83344a2872da910f8859e4d1,5,Word2vec
88,ee1084a92da4e4c1e9805d029f2d9c55,4,Tfidf
89,2135b76ae3147e0bebc875949afb2d45,3,Tfidf_neu
90,7b89bdeb9566cfa4410b5343e1134686,5,Word2vec
91,fd5c9a2c4d6d34909285dc056e18ce41,6,Random
92,f36397df5e22b00dc0dfdebaea1325b7,1,Tfidf_pos
93,ee37f7b2ce4ef0d9e8253c6f284c49da,4,Tfidf
94,d836fb1296e81c31799cc0745e5cc2a6,6,Random
95,15360e04f0941052ef4a7bfdbdc92641,4,Tfidf
96,3fe21209ad48aeaf2a9ee5ba9d3e3777,5,Word2vec
97,efee33e5c100947b5d54e2b010f4343a,7,Transformer
98,2cee990e2a758d3fc71b227c74f1ea60,2,Tfidf_neg
99,7f36a7a8039f4f18b887332d1a718da9,1,Tfidf_pos
100,5bdcda0baef1672470fac00af5faa75b,1,Tfidf_pos
101,ecfa0887a5f8534f8a7e66d850b1b0f6,5,Word2vec
102,ff7718ab128a044d14c434b58781e262,7,Transformer
103,836bb48429f9fdf194de7d8192b6ad07,3,Tfidf_neu
104,6818fe333cbb781f248d371ac8f95f50,3,Tfidf_neu
105,6affd06dd70523d74eb9156adc824fc8,5,Word2vec
106,91054a21c1cba3934aa2d07161c7f835,5,Word2vec
107,d9606d635ef2475113b2d07538b39f44,3,Tfidf_neu
108,fff825a3a47063ab0f7e8e4d19d8d20b,3,Tfidf_neu
